RESOURCE,Fruit_length,Fruit_diameter,Seed_length,Seed_diameter,CONSUMER,INTSTR
Ficus pulchella,17.93,18,0.8,0.7,Callithrix spp.,0.5
Maclura tinctoria,14.2,12.6,2.5,2.1,Callithrix spp.,1
Miconia brasiliensis,2.6,3,NA,1,Callithrix spp.,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Callithrix spp.,0.5
Miconia chartacea,3.3,4,3.3,3.1,Callithrix spp.,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Callithrix spp.,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Callithrix spp.,0.5
Miconia inconspicua,3.6,3,1,0.85,Callithrix spp.,0.5
Miconia latecrenata,1.9,2.3,1,1,Callithrix spp.,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Callithrix spp.,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Callithrix spp.,0.5
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Callithrix spp.,0.5
Miconia staminea,6.3,6,NA,NA,Callithrix spp.,0.5
Miconia theizans,5,4,0.7,0.4,Callithrix spp.,0.5
Miconia tristis,3.4,3.6,1,1,Callithrix spp.,0.5
Miconia valtherii,4.4,3.9,1.1,0.9,Callithrix spp.,0.5
Morus alba,17.5,NA,2,1,Callithrix spp.,0.5
Morus nigra,22.5,20,2,1,Callithrix spp.,1
Psidium cattleyanum,32.4,31,4,2.5,Callithrix spp.,1
Psidium guajava,59.4,57,4.7,3.5,Callithrix spp.,1
Schinus terebinthifolius,6,6,3.5,3.5,Callithrix spp.,0.75
Siparuna reginae,11,7,3,1.49,Callithrix spp.,0.5
Alchornea triplinervia,5.8,4.7,5.8,4.1,Camptostoma obsoletum,0.5
Casearia aculeata,7.7,7.5,NA,NA,Camptostoma obsoletum,0.5
Casearia lasiophylla,11.7,11,5.4,4.5,Camptostoma obsoletum,0.5
Casearia pauciflora,29,28,8,7,Camptostoma obsoletum,0.5
Casearia sylvestris,3,3,2,1.3,Camptostoma obsoletum,1
Clusia criuva,13,11,NA,1.8,Camptostoma obsoletum,0.75
Clusia lanceolata,40,41,6.5,3.1,Camptostoma obsoletum,0.5
Cupania oblongifolia,28.29,11,11.8,9.7,Camptostoma obsoletum,0.5
Cupania racemosa,23,27,17,9.3,Camptostoma obsoletum,0.5
Erythroxylum citrifolium,8,3.7,NA,NA,Camptostoma obsoletum,0.5
Erythroxylum cuspidifolium,9.4,5.4,NA,NA,Camptostoma obsoletum,0.5
Erythroxylum pulchrum,15.54,7.18,11.1,6.54,Camptostoma obsoletum,0.5
Miconia brasiliensis,2.6,3,NA,1,Camptostoma obsoletum,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Camptostoma obsoletum,0.5
Miconia chartacea,3.3,4,3.3,3.1,Camptostoma obsoletum,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Camptostoma obsoletum,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Camptostoma obsoletum,0.5
Miconia inconspicua,3.6,3,1,0.85,Camptostoma obsoletum,0.5
Miconia latecrenata,1.9,2.3,1,1,Camptostoma obsoletum,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Camptostoma obsoletum,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Camptostoma obsoletum,0.5
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Camptostoma obsoletum,0.5
Miconia staminea,6.3,6,NA,NA,Camptostoma obsoletum,0.5
Miconia theizans,5,4,0.7,0.4,Camptostoma obsoletum,0.5
Miconia tristis,3.4,3.6,1,1,Camptostoma obsoletum,0.75
Miconia valtherii,4.4,3.9,1.1,0.9,Camptostoma obsoletum,0.5
Myrsine ferruginea,3,NA,NA,NA,Camptostoma obsoletum,0.5
Myrsine venosa,4.9,5,NA,4.2,Camptostoma obsoletum,0.5
Pera glabrata,4.2,2.3,4,2.6,Camptostoma obsoletum,1
Trema micrantha,3.5,2.7,2,1.7,Camptostoma obsoletum,1
Miconia brasiliensis,2.6,3,NA,1,Capsiempis flaveola,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Capsiempis flaveola,0.5
Miconia chartacea,3.3,4,3.3,3.1,Capsiempis flaveola,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Capsiempis flaveola,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Capsiempis flaveola,1
Miconia inconspicua,3.6,3,1,0.85,Capsiempis flaveola,0.5
Miconia latecrenata,1.9,2.3,1,1,Capsiempis flaveola,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Capsiempis flaveola,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Capsiempis flaveola,0.5
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Capsiempis flaveola,0.5
Miconia staminea,6.3,6,NA,NA,Capsiempis flaveola,0.5
Miconia theizans,5,4,0.7,0.4,Capsiempis flaveola,0.5
Miconia tristis,3.4,3.6,1,1,Capsiempis flaveola,0.5
Miconia valtherii,4.4,3.9,1.1,0.9,Capsiempis flaveola,0.5
Cecropia glaziovii,230,12.62,2,0.62,Carollia perspicillata,1
Cecropia hololeuca,230,20.58,2.9,0.98,Carollia perspicillata,0.5
Cecropia pachystachya,200,10,2,0.61,Carollia perspicillata,1
Ficus catappifolia,32,23,1,0.5,Carollia perspicillata,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Carollia perspicillata,0.5
Ficus cyclophylla,14,12,1.4,1.2,Carollia perspicillata,0.5
Ficus enormis,14,14,1.2,1,Carollia perspicillata,0.5
Ficus glabra,16.6,18,1,0.5,Carollia perspicillata,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Carollia perspicillata,0.5
Ficus hirsuta,7,6,0.5,0.3,Carollia perspicillata,0.5
Ficus insipida,17,20,2.8,1.7,Carollia perspicillata,1
Ficus microcarpa,10,8,0.9,0.7,Carollia perspicillata,0.5
Ficus organensis,8,7,0.7,0.7,Carollia perspicillata,0.5
Ficus pertusa,8,8,1.1,1.1,Carollia perspicillata,0.5
Ficus pulchella,17.93,18,0.8,0.7,Carollia perspicillata,0.5
Maclura tinctoria,14.2,12.6,2.5,2.1,Carollia perspicillata,1
Manilkara subsericea,21,19,11.5,7,Carollia perspicillata,0.5
Musa paradisiaca,120,30,NA,4,Carollia perspicillata,0.5
Passiflora actinia,35,NA,4,NA,Carollia perspicillata,0.5
Passiflora ovalis,80,57.5,8,4.5,Carollia perspicillata,0.5
Piper aduncum,166,6,0.84,0.34,Carollia perspicillata,1
Piper arboreum,120,10,NA,NA,Carollia perspicillata,1
Piper gaudichaudianum,100,6,1,0.8,Carollia perspicillata,1
Psidium cattleyanum,32.4,31,4,2.5,Carollia perspicillata,0.5
Psidium guajava,59.4,57,4.7,3.5,Carollia perspicillata,1
Rubus rosifolius,15,12.6,1.5,1,Carollia perspicillata,0.5
Rubus urticifolius,10,8,2.2,1.4,Carollia perspicillata,0.5
Solanum americanum,6,6.2,1.4,1,Carollia perspicillata,0.5
Solanum argenteum,20,11,2.2,2,Carollia perspicillata,0.5
Solanum caavurana,15,10,2.5,2,Carollia perspicillata,1
Solanum megalochiton,7.6,6.3,NA,NA,Carollia perspicillata,1
Syzygium cumini,17,14.2,11.5,8.3,Carollia perspicillata,1
Artocarpus heterophyllus,600,325,32.5,23.5,Celeus flavescens,1
Artocarpus integrifolia,360,270,29,22,Celeus flavescens,0.5
Casearia aculeata,7.7,7.5,NA,NA,Celeus flavescens,0.5
Casearia lasiophylla,11.7,11,5.4,4.5,Celeus flavescens,0.5
Casearia pauciflora,29,28,8,7,Celeus flavescens,0.5
Casearia sylvestris,3,3,2,1.3,Celeus flavescens,1
Cecropia glaziovii,230,12.62,2,0.62,Celeus flavescens,1
Cecropia hololeuca,230,20.58,2.9,0.98,Celeus flavescens,0.5
Cecropia pachystachya,200,10,2,0.61,Celeus flavescens,0.5
Copaifera langsdorffii,28.79,21.42,17,11,Celeus flavescens,0.5
Copaifera lucens,30.69,21.17,21.6,12.49,Celeus flavescens,0.5
Copaifera trapezifolia,31,23,18.3,11.53,Celeus flavescens,1
Eriobotrya japonica,30,23,13,11,Celeus flavescens,1
Erythroxylum citrifolium,8,3.7,NA,NA,Celeus flavescens,0.5
Erythroxylum cuspidifolium,9.4,5.4,NA,NA,Celeus flavescens,0.5
Erythroxylum pulchrum,15.54,7.18,11.1,6.54,Celeus flavescens,0.5
Euterpe edulis,12.8,12.46,11.7,10,Celeus flavescens,1
Ficus catappifolia,32,23,1,0.5,Celeus flavescens,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Celeus flavescens,0.5
Ficus cyclophylla,14,12,1.4,1.2,Celeus flavescens,0.5
Ficus enormis,14,14,1.2,1,Celeus flavescens,0.5
Ficus glabra,16.6,18,1,0.5,Celeus flavescens,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Celeus flavescens,0.5
Ficus hirsuta,7,6,0.5,0.3,Celeus flavescens,0.5
Ficus insipida,17,20,2.8,1.7,Celeus flavescens,0.5
Ficus microcarpa,10,8,0.9,0.7,Celeus flavescens,1
Ficus organensis,8,7,0.7,0.7,Celeus flavescens,0.5
Ficus pertusa,8,8,1.1,1.1,Celeus flavescens,0.5
Ficus pulchella,17.93,18,0.8,0.7,Celeus flavescens,0.5
Guarea guidonia,16,12,13,10,Celeus flavescens,0.75
Maytenus aquifolium,12,9.5,5.5,3,Celeus flavescens,1
Maytenus cestrifolia,6.7,4.6,11,7.41,Celeus flavescens,0.5
Maytenus communis,14,9.1,NA,NA,Celeus flavescens,0.5
Maytenus ligustrina,25,14,12,8,Celeus flavescens,0.5
Maytenus obtusifolia,8,6,NA,6.8,Celeus flavescens,0.5
Miconia brasiliensis,2.6,3,NA,1,Celeus flavescens,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Celeus flavescens,0.5
Miconia chartacea,3.3,4,3.3,3.1,Celeus flavescens,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Celeus flavescens,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Celeus flavescens,1
Miconia inconspicua,3.6,3,1,0.85,Celeus flavescens,0.5
Miconia latecrenata,1.9,2.3,1,1,Celeus flavescens,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Celeus flavescens,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Celeus flavescens,0.5
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Celeus flavescens,0.5
Miconia staminea,6.3,6,NA,NA,Celeus flavescens,0.5
Miconia theizans,5,4,0.7,0.4,Celeus flavescens,0.5
Miconia tristis,3.4,3.6,1,1,Celeus flavescens,0.5
Miconia valtherii,4.4,3.9,1.1,0.9,Celeus flavescens,0.5
Myrcia laxiflora,8,7.6,NA,NA,Celeus flavescens,0.5
Myrcia pubipetala,13.2,11.6,6.58,0.3,Celeus flavescens,0.5
Myrcia rostrata,6.5,4.5,3,2.5,Celeus flavescens,0.5
Myrsine ferruginea,3,NA,NA,NA,Celeus flavescens,0.5
Myrsine venosa,4.9,5,NA,4.2,Celeus flavescens,0.5
Paullinea carpopoda,9,7,8.3,6.6,Celeus flavescens,0.5
Protium heptaphyllum,17.26,10.76,9.23,7.5,Celeus flavescens,1
Psidium cattleyanum,32.4,31,4,2.5,Celeus flavescens,0.5
Psidium guajava,59.4,57,4.7,3.5,Celeus flavescens,1
Annona cacans,65.67,115,12.9,7,Cerdocyon thous,0.5
Campomanesia guaviroba,27,27,8.5,8.6,Cerdocyon thous,0.75
Coccocypselum lanceolatum,7.91,6.38,1.13,0.48,Cerdocyon thous,0.5
Euterpe edulis,12.8,12.46,11.7,10,Cerdocyon thous,1
Ficus catappifolia,32,23,1,0.5,Cerdocyon thous,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Cerdocyon thous,0.5
Ficus cyclophylla,14,12,1.4,1.2,Cerdocyon thous,0.5
Ficus enormis,14,14,1.2,1,Cerdocyon thous,0.5
Ficus glabra,16.6,18,1,0.5,Cerdocyon thous,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Cerdocyon thous,0.5
Ficus hirsuta,7,6,0.5,0.3,Cerdocyon thous,0.5
Ficus insipida,17,20,2.8,1.7,Cerdocyon thous,0.5
Ficus microcarpa,10,8,0.9,0.7,Cerdocyon thous,0.5
Ficus organensis,8,7,0.7,0.7,Cerdocyon thous,0.5
Ficus pertusa,8,8,1.1,1.1,Cerdocyon thous,0.5
Ficus pulchella,17.93,18,0.8,0.7,Cerdocyon thous,0.5
Marlierea cf.excoriata,9.76,2,9.7,9.85,Cerdocyon thous,0.5
Marlierea clausseniana,9.1,8.3,NA,NA,Cerdocyon thous,0.5
Marlierea edulis,35,37,23,17,Cerdocyon thous,0.5
Marlierea obscura,11,14,9,7,Cerdocyon thous,0.5
Marlierea regeliana,22,23,16,12,Cerdocyon thous,0.5
Marlierea tomentosa,8.4,8.5,5.94,11.4,Cerdocyon thous,0.5
Myrcia laxiflora,8,7.6,NA,NA,Cerdocyon thous,0.5
Myrcia pubipetala,13.2,11.6,6.58,0.3,Cerdocyon thous,0.75
Myrcia rostrata,6.5,4.5,3,2.5,Cerdocyon thous,0.5
Neomitranthes obscura,17,18.2,13.3,11.1,Cerdocyon thous,0.75
Ocotea daphnifolia,15,15,14,14,Cerdocyon thous,0.5
Ocotea diospyrifolia,16.2,1.6,16,10.6,Cerdocyon thous,0.5
Ocotea divaricata,9,NA,8,NA,Cerdocyon thous,0.5
Ocotea elegans,9,7,8,5,Cerdocyon thous,0.5
Ocotea insignis,34.5,20,29,17,Cerdocyon thous,0.5
Ocotea lancifolia,15,12.4,12.7,10.6,Cerdocyon thous,0.5
Ocotea laxa,8,16,7,13.6,Cerdocyon thous,0.5
Ocotea odorifera,21.83,12.98,12,5,Cerdocyon thous,0.5
Ocotea silvestris,20,15,15,11,Cerdocyon thous,0.5
Ocotea teleiandra,21,17,20,16,Cerdocyon thous,0.5
Psidium cattleyanum,32.4,31,4,2.5,Cerdocyon thous,0.75
Psidium guajava,59.4,57,4.7,3.5,Cerdocyon thous,0.5
Rubus rosifolius,15,12.6,1.5,1,Cerdocyon thous,0.75
Rubus urticifolius,10,8,2.2,1.4,Cerdocyon thous,0.5
Schinus terebinthifolius,6,6,3.5,3.5,Cerdocyon thous,1
Solanum americanum,6,6.2,1.4,1,Cerdocyon thous,0.5
Solanum argenteum,20,11,2.2,2,Cerdocyon thous,0.5
Solanum caavurana,15,10,2.5,2,Cerdocyon thous,0.5
Solanum megalochiton,7.6,6.3,NA,NA,Cerdocyon thous,0.5
Syagrus pseudococos,60,42,15,15,Cerdocyon thous,0.5
Aegiphila obducta,14.4,11.6,NA,NA,Chiroxiphia caudata,0.5
Aegiphila sellowiana,8,4,4,2,Chiroxiphia caudata,0.5
Alchornea triplinervia,5.8,4.7,5.8,4.1,Chiroxiphia caudata,1
Allophylus edulis,8.73,7.86,7.69,5.74,Chiroxiphia caudata,1
Amaioua guianensis,17,10,4.6,3.5,Chiroxiphia caudata,0.5
Amaioua intermedia,19.38,9.24,4.6,3.61,Chiroxiphia caudata,1
Cabralea canjerana,28,25,10,9,Chiroxiphia caudata,1
Cecropia glaziovii,230,12.62,2,0.62,Chiroxiphia caudata,1
Cecropia hololeuca,230,20.58,2.9,0.98,Chiroxiphia caudata,0.5
Cecropia pachystachya,200,10,2,0.61,Chiroxiphia caudata,1
Copaifera langsdorffii,28.79,21.42,17,11,Chiroxiphia caudata,1
Copaifera lucens,30.69,21.17,21.6,12.49,Chiroxiphia caudata,0.5
Copaifera trapezifolia,31,23,18.3,11.53,Chiroxiphia caudata,0.5
Cordia corymbosa,4,3.4,NA,NA,Chiroxiphia caudata,1
Cordia magnoliifolia,9,10,7.5,5.5,Chiroxiphia caudata,0.5
Cordia superba,20,22,15,10,Chiroxiphia caudata,0.5
Cordia trichoclada,20,18,13,9,Chiroxiphia caudata,0.5
Cupania oblongifolia,28.29,11,11.8,9.7,Chiroxiphia caudata,0.5
Cupania racemosa,23,27,17,9.3,Chiroxiphia caudata,0.5
Erythroxylum citrifolium,8,3.7,NA,NA,Chiroxiphia caudata,0.5
Erythroxylum cuspidifolium,9.4,5.4,NA,NA,Chiroxiphia caudata,0.5
Erythroxylum pulchrum,15.54,7.18,11.1,6.54,Chiroxiphia caudata,0.5
Ficus catappifolia,32,23,1,0.5,Chiroxiphia caudata,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Chiroxiphia caudata,0.5
Ficus cyclophylla,14,12,1.4,1.2,Chiroxiphia caudata,0.5
Ficus enormis,14,14,1.2,1,Chiroxiphia caudata,0.5
Ficus glabra,16.6,18,1,0.5,Chiroxiphia caudata,0.5
Ficus gomelleira,19.81,23.09,0.5,0.4,Chiroxiphia caudata,0.5
Ficus hirsuta,7,6,0.5,0.3,Chiroxiphia caudata,0.5
Ficus insipida,17,20,2.8,1.7,Chiroxiphia caudata,0.5
Ficus microcarpa,10,8,0.9,0.7,Chiroxiphia caudata,0.5
Ficus organensis,8,7,0.7,0.7,Chiroxiphia caudata,0.5
Ficus pertusa,8,8,1.1,1.1,Chiroxiphia caudata,0.5
Ficus pulchella,17.93,18,0.8,0.7,Chiroxiphia caudata,0.5
Geonoma elegans,10,10,NA,NA,Chiroxiphia caudata,0.5
Geonoma pohliana,9,9,7.5,7.5,Chiroxiphia caudata,0.5
Geonoma schottiana,10,8,NA,NA,Chiroxiphia caudata,0.5
Guapira opposita,6.95,6.53,6.1,3.84,Chiroxiphia caudata,1
Guarea guidonia,16,12,13,10,Chiroxiphia caudata,0.5
Guatteria latifolia,9.4,5.3,NA,NA,Chiroxiphia caudata,0.5
Guatteria pohliana,8,5,6,5,Chiroxiphia caudata,0.5
Ilex paraguariensis,4.8,4.7,4.8,2.6,Chiroxiphia caudata,1
Inga capitata,70,20,13.6,7.3,Chiroxiphia caudata,0.5
Inga marginata,110,15,11,9,Chiroxiphia caudata,1
Inga sessilis,150,45,15,8,Chiroxiphia caudata,0.5
Inga striata,96,34,16.8,3.18,Chiroxiphia caudata,0.5
Ixora gardneriana,8,6,5,4,Chiroxiphia caudata,0.5
Leandra acutiflora,6.4,5.5,NA,NA,Chiroxiphia caudata,0.5
Leandra dasytricha,5.1,NA,NA,NA,Chiroxiphia caudata,0.5
Leandra melastomoides,9.3,7.5,NA,1,Chiroxiphia caudata,0.5
Leandra variabilis,4.2,3.2,NA,1,Chiroxiphia caudata,1
Maytenus aquifolium,12,9.5,5.5,3,Chiroxiphia caudata,0.5
Maytenus cestrifolia,6.7,4.6,11,7.41,Chiroxiphia caudata,0.5
Maytenus communis,14,9.1,NA,NA,Chiroxiphia caudata,0.5
Maytenus ligustrina,25,14,12,8,Chiroxiphia caudata,0.5
Maytenus obtusifolia,8,6,NA,6.8,Chiroxiphia caudata,0.5
Miconia brasiliensis,2.6,3,NA,1,Chiroxiphia caudata,1
Miconia calvescens,4.6,3.4,0.5,0.4,Chiroxiphia caudata,0.5
Miconia chartacea,3.3,4,3.3,3.1,Chiroxiphia caudata,1
Miconia cinerascens,3.7,4.5,1.4,1.3,Chiroxiphia caudata,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Chiroxiphia caudata,1
Miconia inconspicua,3.6,3,1,0.85,Chiroxiphia caudata,0.5
Miconia latecrenata,1.9,2.3,1,1,Chiroxiphia caudata,1
Miconia prasina,3.2,3.4,0.6,0.61,Chiroxiphia caudata,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Chiroxiphia caudata,1
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Chiroxiphia caudata,0.5
Miconia staminea,6.3,6,NA,NA,Chiroxiphia caudata,0.5
Miconia theizans,5,4,0.7,0.4,Chiroxiphia caudata,1
Miconia tristis,3.4,3.6,1,1,Chiroxiphia caudata,1
Miconia valtherii,4.4,3.9,1.1,0.9,Chiroxiphia caudata,0.75
Mollinedia glabra,13,12,NA,NA,Chiroxiphia caudata,0.5
Mollinedia lanceolata,12.8,8.5,NA,NA,Chiroxiphia caudata,0.5
Mollinedia longifolia,15,8,NA,NA,Chiroxiphia caudata,0.5
Mollinedia pachysandra,14.4,12,NA,NA,Chiroxiphia caudata,0.5
Myrcia laxiflora,8,7.6,NA,NA,Chiroxiphia caudata,0.5
Myrcia pubipetala,13.2,11.6,6.58,0.3,Chiroxiphia caudata,1
Myrcia rostrata,6.5,4.5,3,2.5,Chiroxiphia caudata,0.5
Myrsine ferruginea,3,NA,NA,NA,Chiroxiphia caudata,0.5
Myrsine venosa,4.9,5,NA,4.2,Chiroxiphia caudata,0.5
Nectandra leucantha,27,15,25,14,Chiroxiphia caudata,0.5
Nectandra membranacea,10,15,8,10,Chiroxiphia caudata,1
Nectandra oppositifolia,15,11,14,10,Chiroxiphia caudata,0.5
Nectandra puberula,12.4,13,11,10.5,Chiroxiphia caudata,0.5
Nectandra reticulata,15,9,14,8,Chiroxiphia caudata,0.5
Ocotea daphnifolia,15,15,14,14,Chiroxiphia caudata,0.5
Ocotea diospyrifolia,16.2,1.6,16,10.6,Chiroxiphia caudata,0.5
Ocotea divaricata,9,NA,8,NA,Chiroxiphia caudata,0.5
Ocotea elegans,9,7,8,5,Chiroxiphia caudata,0.5
Ocotea insignis,34.5,20,29,17,Chiroxiphia caudata,0.5
Ocotea lancifolia,15,12.4,12.7,10.6,Chiroxiphia caudata,0.5
Ocotea laxa,8,16,7,13.6,Chiroxiphia caudata,0.5
Ocotea odorifera,21.83,12.98,12,5,Chiroxiphia caudata,0.5
Ocotea silvestris,20,15,15,11,Chiroxiphia caudata,0.5
Ocotea teleiandra,21,17,20,16,Chiroxiphia caudata,0.5
Ossaea angustifolia,5.2,4.2,NA,NA,Chiroxiphia caudata,0.5
Ossaea marginata,4.9,4.4,NA,NA,Chiroxiphia caudata,0.5
Pera glabrata,4.2,2.3,4,2.6,Chiroxiphia caudata,1
Pereskia aculeata,20,18,4.8,4.5,Chiroxiphia caudata,1
Piper aduncum,166,6,0.84,0.34,Chiroxiphia caudata,0.5
Piper arboreum,120,10,NA,NA,Chiroxiphia caudata,0.5
Piper gaudichaudianum,100,6,1,0.8,Chiroxiphia caudata,0.5
Protium heptaphyllum,17.26,10.76,9.23,7.5,Chiroxiphia caudata,1
Psychotria carthagenensis,5.2,5.5,5,4.3,Chiroxiphia caudata,0.5
Psychotria deflexa,5.09,4.02,3,2.4,Chiroxiphia caudata,0.5
Psychotria leiocarpa,8,9,3,2.4,Chiroxiphia caudata,0.5
Psychotria myriantha,5.4,6.2,4,3,Chiroxiphia caudata,0.5
Psychotria nuda,8.7,7,NA,NA,Chiroxiphia caudata,0.5
Psychotria suterella,11,13,4,3,Chiroxiphia caudata,0.5
Psychotria vellosiana,0.4,3.7,NA,NA,Chiroxiphia caudata,0.5
Rubus rosifolius,15,12.6,1.5,1,Chiroxiphia caudata,1
Rubus urticifolius,10,8,2.2,1.4,Chiroxiphia caudata,0.5
Rudgea macrophylla,8.5,13.5,NA,NA,Chiroxiphia caudata,0.5
Schinus terebinthifolius,6,6,3.5,3.5,Chiroxiphia caudata,1
Solanum americanum,6,6.2,1.4,1,Chiroxiphia caudata,1
Solanum argenteum,20,11,2.2,2,Chiroxiphia caudata,0.5
Solanum caavurana,15,10,2.5,2,Chiroxiphia caudata,0.5
Solanum megalochiton,7.6,6.3,NA,NA,Chiroxiphia caudata,0.5
Syagrus pseudococos,60,42,15,15,Chiroxiphia caudata,
Symplocos variabilis,5.2,3.87,NA,NA,Chiroxiphia caudata,0.5
Trema micrantha,3.5,2.7,2,1.7,Chiroxiphia caudata,1
Trichilia elegans,14.6,6.5,7.6,6.9,Chiroxiphia caudata,0.5
Trichilia lepidota,18,13,6,3.5,Chiroxiphia caudata,0.5
Trichilia pseudostipularis,15.35,6.3,10.3,5.7,Chiroxiphia caudata,0.5
Trichilia silvatica,8.4,5.1,7,3,Chiroxiphia caudata,0.5
Miconia brasiliensis,2.6,3,NA,1,Chlorophonia cyanea,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Chlorophonia cyanea,0.5
Miconia chartacea,3.3,4,3.3,3.1,Chlorophonia cyanea,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Chlorophonia cyanea,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Chlorophonia cyanea,1
Miconia inconspicua,3.6,3,1,0.85,Chlorophonia cyanea,0.5
Miconia latecrenata,1.9,2.3,1,1,Chlorophonia cyanea,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Chlorophonia cyanea,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Chlorophonia cyanea,1
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Chlorophonia cyanea,0.5
Miconia staminea,6.3,6,NA,NA,Chlorophonia cyanea,0.5
Miconia theizans,5,4,0.7,0.4,Chlorophonia cyanea,0.5
Miconia tristis,3.4,3.6,1,1,Chlorophonia cyanea,0.5
Miconia valtherii,4.4,3.9,1.1,0.9,Chlorophonia cyanea,0.5
Aegiphila obducta,14.4,11.6,NA,NA,Cnemotriccus fuscatus,0.5
Aegiphila sellowiana,8,4,4,2,Cnemotriccus fuscatus,0.5
Alchornea triplinervia,5.8,4.7,5.8,4.1,Cnemotriccus fuscatus,0.5
Guarea guidonia,16,12,13,10,Cnemotriccus fuscatus,1
Miconia brasiliensis,2.6,3,NA,1,Cnemotriccus fuscatus,0.5
Miconia calvescens,4.6,3.4,0.5,0.4,Cnemotriccus fuscatus,0.5
Miconia chartacea,3.3,4,3.3,3.1,Cnemotriccus fuscatus,0.5
Miconia cinerascens,3.7,4.5,1.4,1.3,Cnemotriccus fuscatus,0.5
Miconia cinnamomifolia,3.51,2.54,0.4,0.3,Cnemotriccus fuscatus,1
Miconia inconspicua,3.6,3,1,0.85,Cnemotriccus fuscatus,0.5
Miconia latecrenata,1.9,2.3,1,1,Cnemotriccus fuscatus,0.5
Miconia prasina,3.2,3.4,0.6,0.61,Cnemotriccus fuscatus,0.5
Miconia pusilliflora,4.5,4.5,2.7,1.6,Cnemotriccus fuscatus,0.5
Miconia rigidiuscula,3.2,3.54,1.21,1.34,Cnemotriccus fuscatus,0.5
Miconia staminea,6.3,6,NA,NA,Cnemotriccus fuscatus,0.5
Miconia theizans,5,4,0.7,0.4,Cnemotriccus fuscatus,0.5
Miconia tristis,3.4,3.6,1,1,Cnemotriccus fuscatus,0.5
Miconia valtherii,4.4,3.9,1.1,0.9,Cnemotriccus fuscatus,0.5
Trema micrantha,3.5,2.7,2,1.7,Cnemotriccus fuscatus,1
Aegiphila obducta,14.4,11.6,NA,NA,Coereba flaveola,0.5
Aegiphila sellowiana,8,4,4,2,Coereba flaveola,0.5
Alchornea triplinervia,5.8,4.7,5.8,4.1,Coereba flaveola,0.5
Amaioua guianensis,17,10,4.6,3.5,Coereba flaveola,0.75
Amaioua intermedia,19.38,9.24,4.6,3.61,Coereba flaveola,0.5
Cabralea canjerana,28,25,10,9,Coereba flaveola,0.75
Casearia aculeata,7.7,7.5,NA,NA,Coereba flaveola,0.5
Casearia lasiophylla,11.7,11,5.4,4.5,Coereba flaveola,0.5
Casearia pauciflora,29,28,8,7,Coereba flaveola,0.5
Casearia sylvestris,3,3,2,1.3,Coereba flaveola,0.75
Cecropia glaziovii,230,12.62,2,0.62,Coereba flaveola,0.75
Cecropia hololeuca,230,20.58,2.9,0.98,Coereba flaveola,0.5
Cecropia pachystachya,200,10,2,0.61,Coereba flaveola,1
Eriobotrya japonica,30,23,13,11,Coereba flaveola,0.75
Ficus catappifolia,32,23,1,0.5,Coereba flaveola,0.5
Ficus clusiaefolia,5,6,1.2,0.7,Coereba flaveola,0.5
Ficus cyclophylla,14,12,1.4,1.2,Coereba flaveola,0.5
Ficus enormis,14,14,1.2,1,Coereba flaveola,0.5
